What are unit cells?; They are the smallest/simplest ‘repeating units’ of the material
Why is the safety factor used?; It is applied to ensure that the material is not subjected to its limit, which is the yield point. 
What are the two types of deformations?; Elastic and plastic deformation. 
Define elastic deformation.; It is the degree to which a structure deforms or strains depends on the magnitude of an imposed stress and is not permanent. 
Reducing or hindering the mobility of dislocation, reduces hardness and strength of the material, true or false.: False. Reducing or hindering the mobility of dislocation, enhances hardness and strength of the material. 
What is the strengthening mechanism of metal?; We can restrict or hinder the movement of dislocation. 
Is totally stopping the movement of dislocation ideal in metals?; No, as stopping dislocation completely will cause brittle characteristics to occur. 
List 2 techniques to strengthen metals?; Any two: Grain size reduction OR Solid -solution alloying OR Phase transformation OR Strain hardening OR Second phase particles/ precipitation hardening 
How does grain size reduction increase strength in metals?; As boundary areas increase as grain size reduces, motion of dislocation is slowed down around the grain boundary due to different orientation of adjacent grain in metals and atomic disorder around the boundary. 
Is fine-grain or coarse grain stronger?; Fine grain. 
How does solid-solution hardening increase strength and hardness in metals?; Alloying with impurity atoms increases the concentration of impurity results in interaction between dislocation and impurity atoms. Hence restricting the dislocation motion results in increase in strength (tensile and yield) and also hardness.
How do impurities increase strength in metals?; As alloying atoms are of different size compared to the host atoms, thus straining the crystal. Hence, this strain feld can interact with a moving dislocation, thus hindering its movement. And/Or The alloying atoms may diffuse to the dislocation to reduce their strain energy, which requires more energy to move. 
When tensile and yield strength increases , ductility increases, true or false.; False. When tensile and yield strength increases , ductility decreases. 
What is the definition of Strain hardening/ work hardening?; Metals become harder and stronger as they are plastically deformed at a temperature lower than their melting point, usually at room temperature. 
How does strain hardening increase strength?; After plastically deforming the material -> an increase in the dislocation density as the number of dislocations increases and t distance between the dislocations decreases.  
Also as dislocation interactions are repulsive-> dislocation movement hinders-> increase in dislocations=> movement will be more restricted. Hence led to increase in strength. 
Properties of cold working be reverted back to pre cold-worked states, true or false.; True
Define annealing.; It is a process of heating the steel slightly above or below the critical temperature of steel and allowing it to cool very slowly. 
List the three stages of the annealing process in order.; Recovery, Recrystallization, Grain growth
List 3 advantages of annealing.: Any three: It softens the steel OR It enhances and improves the machinability of steel OR It increases the ductility of steel OR It improves the homogeneity in steel OR The grain size of the steel become more equiaxed OR It prepares the steel for further heat treatment OR Eliminates dislocation
Define alloy.; A pure metal to which other elements have been added.
What are the phases present in an isomorphous system.; Solid phase: solid solution. Liquid phase: homogeneous liquid solution. Two phases : both liquid and solid phase co-exist. 
A non-equilibrium solidification will result in a different chemical composition at the centre and surface, why does this happen?; It is due to fast cooling, where there was insufficient time for diffusion of the atoms to happen resulting in surrounding areas consisting of layers of the solid containing less of the higher melting point metal. 
Why is cored structure undesirable?; Affect the mechanical properties of metal AND/OR Reduce corrosion resistance 
What are some methods to avoid a cored structure?; Slow down the cooling rate AND/OR Use the homogenisation heat treatment 
What is the eutectic point?; It is where the single liquid is transformed simultaneously into two solid forms. 
What is the composition of Hypereutectoid steel?; More than 0.76 wt% C
What is the composition of Hypoeutectoid steel?; Less than 0.76 wt% C
Does cementite exist by itself?; No
What are the steps of  the Austenite to pearlite transformation?; First,diffusion of carbon atoms then formation of cementite then transformation of FCC to BCC iron then formation of the alternating layer of ferrite and cementite 
What is the process of phase transformation?; Heating, holding and cooling to get desired mechanical properties. 
What are the three stages of phase transformation?; Nucleation, Growth and Coarsening 
What is the relationship between the chemical driving force, temperature and rate of pearlite formation?; Lower the temperature, higher the chemical driving force, faster the rate of formation of pearlite 
What is the percentage transformation used when calculating the rate of transformation?; 50%
What phase will hypoeutectoid steel have in slow cooling?; Proeutectoid ferrite and pearlite
What phase will eutectoid steel have in slow cooling?; Pearlite
What phase will hypereutectoid steel have in slow cooling?; Proeutectoid cementite and pearlite
What phase will austenite have after fast cooling?; Bainite or martensite 
What are the properties of martensite?; High hardness and strength but brittle. 
What is one difference between bainite and pearlite.; Bainite forms at a lower temperature than pearlite OR Bainite is stronger and harder but less ductile than pearlite. 
Martensite formation is a diffusional process, true or false.; False, as martensite formation is not a diffusional process
How does the carbon content affect the temperature of martensite formation?; The higher the carbon content, the lower the temperature of martensite formation
Define hardenability.; Hardenability is the ability to form martensite
Define good hardenability.; Good hardenability is defined as a large the distance of the martensite layer. 
List 2 factors affecting hardenability.; Carbon content OR cooling rate OR type of quenching medium OR material size and geometry OR amount and type of alloying elements
Why does bainite have more strength and hardness than pearlite?; This is because bainite has finer grains than pearlite. 
What phases are in tempered martensite?; It has two phases ferrite and cementite, where the cementite phase is distributed in a continuous ferrite phase. 
List the steel phase in increasing strength.; Ferrite < Pearlite < Austenite < Bainite < Tempered Martensite < Martensite 
How do elements added increase hardness in tool steel?; Due to formation of alloy carbides, secondary hardening. 
What are the steps in secondary hardening?; Heat, Quench and Age
During secondary hardening, is zone 3/θ desired?; No, as this means that the steel is overaged, and the strength and hardness decreases.
List two disadvantages when using steel.; Poor scaling OR Poor corrosion resistance OR High density OR Low conductivity
What are the main constituents of steel?; Iron and carbon. 
Name 3 elements commonly added to steel.; Manganese (Mn) OR Nickel (Ni) OR Chromium (Cr) OR Molybdenum (Mo) OR Tungsten (W) OR Vanadium (V) OR Copper (Cu) OR Boron (B) OR Aluminium (Al)
Most alloying elements shift the TTT/CCT diagram to the right except Cr, true or false?; False, most alloying elements shift the TTT/ CCT diagram to the right except Co.
Why do we alloy the elements to steel, list 2 reasons.; Increase strength and toughness OR Improve hardenability OR Increase corrosion resistance OR Improve high temperature properties
What elements have a greater effect for solid solution strengthening and why?; Mn and Ni have a greater effect as they are both FCC stabilisers.
Why is carbide formation good in steel?; Carbides provide high temperature strength. 
What element forms the hardest carbide?; Vanadium  
What elements do not increase the temperature of austenite formation?; Ni and Mn as they are FCC stabilisers. 
Why is sulfur undesirable in steel?; Sulfur causes hot shortness as FeS inclusion at grain boundaries soften the material and melt easily, which hence leads to cracking. 
What can be done to overcome hot shortness in steel?; It can be overcomed by adding Mn. 
Sulfur and phosphorus are always present in steel, true or false?; True
Why is phosphorus undesirable in steel?; It leads to cold shortness, hence resulting in reduction in impact strength at low temperatures. 
List two reasons why nickel is added to steel.; Increase toughness OR Increase strength OR Increase hardenability OR Increase impact strength at low temperature OR In higher amounts, reduce corrosion of high Cr steels
How much manganese is added for the steel to be hadfield steel.; 11 to 15% 
Chromium is a carbide former, true or false?; True
More than 4% of chromium is added for steels to become stainless, true or false.; False, as more than 4% leads to decreased corrosion
When is steel considered to be stainless?; When there is more than 12% chromium
What element is the easiest carbide former?; Ti .
State one property of low carbon steels?; Low strength OR Good machinability OR High ductility and formability OR Unresponsive to heat treatment
What is free cutting steel?; ‘easy to cut steel’, it has high machinability and surface finish, it contains P, S and Pb to improve machinability 
What is tool steel?; High speed steel, able to retain hardness at high temperature, widely used for high speed cutting and machining applications, it is highly alloyed with high carbon based steels to form carbides.
What is structural steel?; steel that is of high strength and toughness, resistance to softening at high temperature, corrosion resistance and weld-ability 
What is Maraging steel?; A special class of steel that is of high strength and high fracture toughness, composition of 20% Ni and 9% Cr and low carbon. The hardness is produced by forming martensite by air cooling, cold working and aging the alloy at 400ºC 
What is Hadfield steel?; a special class of steel, that has remarkable resistance to heavy abrasion and shock.
What is the composition of Maraging steels?; Low carbon, 20% Ni and 9% Cr
How is hardness produced in maraging steels?; Hardness is produced by forming martensite by air cooling, cold working and ageing the alloy at 400°C.
What is the main property of stainless steel?; It has corrosion and oxidation resistance
What is the corrosion resistant mechanism of stainless steel?; Due to the formation of the Cr2O3To increase oxidation resistance, Cr content needs to increase, true or false.; True
When will intergranular corrosion happen in stainless steel?; The formation of chromium carbide (Cr3C2) will deplete the Cr content (<12%) thus unable to passivate the S.S. Corrosion will occur along the grain boundaries. 
How do we prevent intergranular corrosion?; Reduce carbon content OR Add a carbide former OR Increase Cr content
What is a property light alloys are known for?; The strength to weight ratio.
What is the disadvantage of using light metals?; The thermal stability of light alloys
How does light metals derive their strength?; Solid solution hardening OR Precipitation hardening OR Work hardening
What are the crystalline forms in Ti alloys?; Alpha, Beta and Alpha + Beta
What stabilises beta phase?; Transitional metals
What is a property of alpha alloy in Ti alloys?; It has superior creep resistance. 
What are the properties of beta alloys in Ti alloys?; It is stable at high temperature and better fracture toughness. 
What is the most common Ti alloy used in aerospace application?; Ti-6Al-4V 
What bonds are found in ceramic?; Ionic and covalent bonds
Why is ceramic brittle?; With the mixture of both the bonds, it does not allow the movement of dislocations under stress
Where Material A has an ionic character of 70% and Material B has an ionic character of 45%, which material has a higher melting point?; Material A 
Ionic bonds are highly directional and covalent bonds are non-directional, true or false.; False, as ionic bonds are non-directional and covalent bonds are highly directional.
What are the limitations of the arrangement of ions into a variety of crystal structures?; Relative size of the anions and cation and the crystals must be electrically neutral. 
In the ceramic crystal structure, the anion is located at the interstitial site while the cation is located at the lattice point, true or false.; False, in the crystal structure, the anion is located at the lattice point while the cation is located at the interstitial site. 
What makes a ceramic crystal structure stable?; The anion and cation have to be in contact
What is the relationship between coordination number and rc/ra ratio.; Coordination numbers increase with rc/ra ratio
Are fractures in ceramic usually intergranular or trans-granular.; Trans-granular
Is flexure testing or tensile testing preferred for ceramics?; Flexure testing 
What is the most dangerous mode of failure?; Opening mode (K1C)
What is a material used as a toughening material in ceramic toughening?;  Zirconia
How does transformation of tetragonal to monoclinic increase fracture toughness?; The phase transformation can put the crack into compression retarding the crack growth and hence, enhancing transformation toughness. 
Roughly outline the mechanism of transformation toughening?; The ceramic matrix is surrounded by the highly stressed tetragonal zirconia. Hence, each tetragonal zirconia is full of energy that wants to be released, thus if the crack tries to form, the highly stress tetragonal zirconia next to the crack tip will be able absorb the stress from the crack and expand and transform back to their stable monoclinic form. This expansion adjacent to the crack causes a compression force on the crack and prevents the crack from advancing. 
What are the characteristics of dielectric materials?; It can be polarised in an electric field, it can support an electric field and is a non-metal
What is the secondary usage of dielectrics?; The secondary usage is as an insulator
What is the primary usage of dielectrics?; The secondary usage is as a capacitor
If D= 𝜀E, is dielectric material present or is vacuum present.; The dielectric material is present. 
Ferroelectric materials will have a spontaneous polarisation upon cooling above its curie point, true or false.; False, Ferroelectric materials will have a spontaneous polarisation upon cooling below its curie point. 
Define piezoelectricity.; It is the ability of certain crystalline materials to develop an electrical charge proportional to a mechanical stress. 
Define pyroelectricity.; The polar axis of a pyroelectric material allows a net polarisation to occur when the temperature is changed
Define ferroelectricity; Special subset of pyroelectrics, in that their polarisation can be reversed on the application of an electric field. All ferroelectrics are both pyroelectric and piezoelectric. 
If it is a pyroelectric, it is also a piezoelectric, true or false. True
If it is a piezoelectric, it is also a pyroelectric, true or false.; False
If it is a pyroelectric, it is also a ferroelectric, true or false.; False
What substitution at the A site of BaTiO3 reduces Curie point?; Sr2+
What substitution at the A site of BaTiO3 increases curie point?; Pb2+
